TreeID,iTreeSpecies,DBH,iTreeDate,StructuralValue_dol,C_Storage_lb,C_Storage_Dol,Gross_C_Seq_lb,Gross_C_Seq_Dol,AvoidedRunoff_cubft,AvoidedRunoff_Dol,C_Avoided_lbyr,C_Avoided_dolyr,Poll_Removal_ozyr,Poll_Removal_dolyr,EnergySavings_dolyr,TotalAnnualBenefits_dolyr
-11,Shumard oak,17.2,3/29/2019,4801.28,1517.1,129.37,34.1,2.91,35.7,2.39,N/A,N/A,10.7,2.86,N/A,8.15
187,Shumard oak,17.2,3/29/2019,4801.28,1517.1,129.37,34.1,2.91,35.7,2.39,N/A,N/A,10.7,2.86,N/A,8.15
188,Shumard oak,13.9,3/29/2019,3181.35,889.7,75.87,24.8,2.11,33.2,2.22,N/A,N/A,10,2.65,N/A,6.98
189,Shumard oak,12,3/29/2019,2404.61,615.1,52.45,19.9,1.69,27,1.8,N/A,N/A,8.1,2.16,N/A,5.65
190,Shumard oak,13.8,3/29/2019,3137.63,873.6,74.5,24.5,2.09,32.9,2.2,N/A,N/A,9.9,2.63,N/A,6.92
191,Shumard oak,14,3/29/2019,3225.39,905.7,77.23,25.1,2.14,33.6,2.24,N/A,N/A,10.1,2.68,N/A,7.06
192,Shumard oak,14.6,3/29/2019,3496.24,1006.3,85.81,26.7,2.28,35.3,2.36,N/A,N/A,10.6,2.82,N/A,7.46
193,Shumard oak,14.5,3/29/2019,3450.31,989.2,84.35,26.4,2.25,34.9,2.34,N/A,N/A,10.5,2.8,N/A,7.38
194,Shumard oak,12.7,3/29/2019,2677.52,709.2,60.47,21.6,1.84,29.4,1.96,N/A,N/A,8.8,2.35,N/A,6.16
195,Scarlet oak,14.8,3/29/2019,3366.58,969,82.63,25.8,2.2,35.8,2.4,N/A,N/A,10.8,2.87,N/A,7.46
196,Eastern white pine,5,3/29/2019,356.84,33.8,2.88,2.4,0.21,4.5,0.3,N/A,N/A,1.4,0.36,N/A,0.87
197,Eastern white pine,2,3/29/2019,65.25,4.2,0.35,0.7,0.06,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.27
198,Sugar maple,2,3/29/2019,61.17,10.9,0.93,2.1,0.18,3.7,0.25,N/A,N/A,1.1,0.3,N/A,0.72
200,crabapple,5,3/29/2019,274.45,62.3,5.32,4.8,0.41,7.4,0.5,N/A,N/A,2.2,0.6,N/A,1.5
201,Littleleaf linden,23,3/29/2019,6563.2,1618.6,138.03,26.1,2.22,61.2,4.09,N/A,N/A,18.4,4.9,N/A,11.22
202,crabapple,6.9,3/29/2019,522.67,135.1,11.52,7.5,0.64,10.5,0.7,N/A,N/A,3.2,0.84,N/A,2.18
206,Scarlet oak,18.2,3/29/2019,4976.57,1624,138.48,35.1,2.99,38.7,2.59,N/A,N/A,11.6,3.09,N/A,8.67
207,Pawpaw,2.5,3/29/2019,68.61,12.7,1.08,1.9,0.16,3.7,0.25,N/A,N/A,1.1,0.29,N/A,0.7
208,Black walnut,6.1,3/29/2019,398.34,105.9,9.03,6.5,0.56,17.9,1.19,N/A,N/A,5.4,1.43,N/A,3.18
209,Swamp white oak,8.9,3/29/2019,1387.41,290.2,24.75,12.7,1.08,16.4,1.09,N/A,N/A,4.9,1.31,N/A,3.48
210,Chestnut oak,5.1,3/29/2019,408.38,79,6.73,6.4,0.55,8.5,0.57,N/A,N/A,2.6,0.68,N/A,1.8
211,Cucumber tree,5.6,3/29/2019,419.64,84.7,7.22,5.7,0.49,11.4,0.77,N/A,N/A,3.4,0.92,N/A,2.17
212,Swamp white oak,7.2,3/29/2019,832.43,170.3,14.53,9.2,0.78,11.3,0.76,N/A,N/A,3.4,0.9,N/A,2.44
213,Northern catalpa,7.5,3/29/2019,401.44,172.6,14.72,8.7,0.74,12.3,0.82,N/A,N/A,3.7,0.99,N/A,2.55
214,Northern catalpa,9.2,3/29/2019,1289.96,282.9,24.13,11.6,0.99,16.3,1.09,N/A,N/A,4.9,1.31,N/A,3.39
215,American sycamore,8.3,3/29/2019,1203.27,226.4,19.31,10.2,0.87,26.6,1.78,N/A,N/A,8,2.13,N/A,4.78
216,Northern red oak,8.9,3/29/2019,1387.41,280.6,23.92,12.1,1.03,19.6,1.31,N/A,N/A,5.9,1.57,N/A,3.92
217,Bigleaf magnolia,1.5,3/29/2019,50.98,3.7,0.31,1,0.08,2.7,0.18,N/A,N/A,0.8,0.21,N/A,0.47
218,Eastern redbud,7.5,3/29/2019,617.52,174.2,14.86,8.8,0.75,14.1,0.94,N/A,N/A,4.2,1.13,N/A,2.82
220,Pawpaw,3.7,3/29/2019,150.29,32.5,2.78,3.3,0.28,5.9,0.4,N/A,N/A,1.8,0.47,N/A,1.15
221,Red maple,6.7,3/29/2019,600.69,143.1,12.2,8,0.68,15.8,1.05,N/A,N/A,4.7,1.26,N/A,3
222,Pawpaw,3.2,3/29/2019,112.42,23,1.96,2.7,0.23,4.9,0.33,N/A,N/A,1.5,0.39,N/A,0.95
223,Pawpaw,2.6,3/29/2019,74.21,14,1.19,2,0.17,3.8,0.26,N/A,N/A,1.2,0.31,N/A,0.74
227,Eastern red cedar,0.8,3/29/2019,48.94,3.8,0.32,0.3,0.02,1.5,0.1,N/A,N/A,0.4,0.12,N/A,0.24
228,Eastern hemlock,1,3/29/2019,61.17,1.9,0.16,0.4,0.04,1.2,0.08,N/A,N/A,0.4,0.1,N/A,0.22
229,Tamarack,0.5,3/29/2019,40.78,0.2,0.02,0.2,0.02,1.2,0.08,N/A,N/A,0.4,0.1,N/A,0.2
230,Common hoptree,1.5,3/29/2019,50.19,3.6,0.31,0.9,0.08,3,0.2,N/A,N/A,0.9,0.24,N/A,0.52
231,Common persimmon,2,3/29/2019,50.19,6.9,0.59,1.4,0.12,2.1,0.14,N/A,N/A,0.6,0.17,N/A,0.42
232,Common persimmon,2,3/29/2019,50.19,6.9,0.59,1.4,0.12,2.1,0.14,N/A,N/A,0.6,0.17,N/A,0.42
233,Butternut,2,3/29/2019,40.78,7.2,0.61,1.4,0.12,4.1,0.28,N/A,N/A,1.2,0.33,N/A,0.73
235,Shingle oak,10.3,3/29/2019,1745.84,418.9,35.73,15.8,1.35,21,1.4,N/A,N/A,6.3,1.68,N/A,4.43
237,River birch,8.5,3/29/2019,1260.26,264.5,22.56,12.1,1.03,16.3,1.09,N/A,N/A,4.9,1.31,N/A,3.43
238,Sweetgum,8.1,3/29/2019,1163.53,192.5,16.41,7,0.6,12.9,0.87,N/A,N/A,3.9,1.04,N/A,2.5
239,Northern red oak,9.9,3/29/2019,1690.9,363.4,30.99,14.1,1.2,22.9,1.53,N/A,N/A,6.9,1.83,N/A,4.57
240,silverbell spp,2,3/29/2019,50.19,6.9,0.59,1.4,0.12,2.1,0.14,N/A,N/A,0.6,0.17,N/A,0.42
242,Honeylocust,9.1,3/29/2019,1411.78,271.5,23.15,11.3,0.96,11.5,0.77,N/A,N/A,3.5,0.92,N/A,2.65
243,Boxelder,6.3,3/29/2019,212.44,136.4,11.63,7.5,0.64,12.4,0.83,N/A,N/A,3.7,0.99,N/A,2.46
244,Kentucky coffeetree,9.5,3/29/2019,1518.54,308.7,26.32,12.2,1.04,22.7,1.52,N/A,N/A,6.8,1.82,N/A,4.38
245,White oak,4.5,3/29/2019,325.17,48.7,4.15,4.4,0.37,4.6,0.31,N/A,N/A,1.4,0.37,N/A,1.05
246,Yellowwood,4.6,3/29/2019,232.3,53.5,4.56,4.4,0.38,7.1,0.47,N/A,N/A,2.1,0.57,N/A,1.42
247,White oak,4.6,3/29/2019,339.78,51.5,4.39,4.5,0.38,4.7,0.32,N/A,N/A,1.4,0.38,N/A,1.08
249,Tulip tree,7.5,3/29/2019,501.8,142,12.11,7.2,0.61,24.5,1.64,N/A,N/A,7.4,1.96,N/A,4.21
250,Northern red oak,4,3/29/2019,256.92,40.2,3.43,3.9,0.33,6,0.4,N/A,N/A,1.8,0.48,N/A,1.21
