Id used for general information,General Information
quercus lyrata,"A rare tree in Ohio. One of the species that best survived the floods of the Mississippi River, it is capable of surviving floods even when inundated for up to 4 months."
quercus phellos,A common street tree. It has a native range from Philadelphia all the way south to Atlanta. It received its name due to the similarity of its leaves to willow leaves.
acer campestre,This tree received its name from its association with the hedgerows of Europe in World War II.
metasequoia glyptostroboides,"This majestic tree is commonly referred to as a living fossil, due to its history dating back over 100 million years. For a period it was thought to have extinct for millions of years, since only fossil records could be located. In 1944, however, an arborist from China rediscovered the species in the Sichuan province. Unlike other species in its family, the dawn redwood is deciduous and sheds its leaves in the fall. "
fagus sylvatica,"As its name suggests, this tree is native to Europe but used extensively as an ornamental in the U.S. It can be clipped to form attractive hedges, or let grow into a large tree."
quercus acutissima,"An Asian native, this tree is selected in this country for its benefit to wildlife. Unlike other oaks itproduces acorns consistently, yet does not persist into natural forests, so is not invasive."
juglans nigra,"Noted for its valuable wood, large fruit, natural dyes, abrasive cleaner from shell, and distinctive flavorful nutmeats, this tree also releases an antagonistic compound inhibiting the growth of some plants."
ginkgo biloba,"This living fossil dates back over 270 million years. Famous for its potent smell, the edible “nut” of a ginkgo is considered a delicacy in China and is believed to have many health benefits. Ginkgo has been cultivated in Chinese monasteries to the extent that all “wild trees” now found in Asia are believed to be naturalized from monastery cultivation. Six famous Gingko trees survived the atomic bomb explosion at Hiroshima and are still alive there today."
quercus muehlenbergii,"Considered to be a low-maintenance and long-living tree, the Chinkapin oak is also native to the Midwest. Its acorns are considered to be the sweetest of oaks and can even be eaten raw. "
liriodendron tulipifera,"A beautiful ornamental in the magnolia family, features spring-blooming flowers that bear a striking resemblance to tulips. Flowers are recognized for their popularity amongst pollinators, including hummingbirds and bees. Honey produced from tulip trees are prized for their rich, red color. The only known host plant for tuliptree silkmoths and one of very few host plants for tiger swallowtail caterpillars.   "
platanus occidentalis,"On OSU’s campus, the American sycamore is the only tree species capable of having been here before the creation of the university. At least one tree was here before the Ohio State University was established in 1870, possibly since the signing of the U.S. Constitution in 1787. Several large sycamore trees stood in the path of expansion of an OSU road system in 2010 and were at risk of removal, but were saved by passionate faculty and student activism. The road was eventually built with a slight curve and the two trees remain standing to this day."
quercus prinus,"A slow-growing ridge top tree with the thickest ridged, dark brown bark of Eastern oaks. The fire resistant bark protects the tree from secondary trunk decay wounds."
zelkova serrata,"An Asian introduction, was selected for its V-shape because of its similarity to the American elm. Ironically, this V-shape is incredibly sensitive to storm damage, and if hit by lightning, it rarely survives."
gleditsia triacanthos var. inermis ,"The first plant patented by Ohio nurseries in 1949. It has since been widely planted as a street tree, although it can damage sidewalks with its rooting system."
gleditsia triacanthos,"A rare tree to be found in public landscapes due to its large thorns (up to six inches!), which were used by Cherokees as weapons. Contrary to its thorny exterior, honeylocusts produce pods filled with a sweet pulp similar to honey. "
pyrus calleryana,"A hybrid originally created as an attractive ornamental which thrived nearly everywhere but produced sterile fruit, it saw immense popularity throughout the 1900s, especially in suburban areas. It was only realized later that the tree was incredibly invasive due to its ability to hybridize with other varieties and produce fertile fruit, then rapidly spreading into neighboring areas. Invasives are dangerous for a variety of reasons, primarily because native species, which are important for pollinators and wildlife, tend to be outcompeted by these hardier species. Today, the callery pear is widely targeted for removal as an invasive species due to the threats it poses to biodiversity. "
fraxinus excelsior,"A fast-growing tree commonly used for producing timber. Was found to be highly susceptible to the pervasive pest emerald ash borer (EAB), and as such was banned from several states to prevent further spread of the pest. "
