Id used for leaf Images,Name of the image files,
acer campestre,acer_carapestre.png,
acer griseum,acer_griseum.png,
acer negundo,acer_negundo.png,
acer nigrum,acer_nigrum.png,
acer platanoides,acer_platanoides.png,
acer rubrum,acer_rubrum.png,
acer saccharinum,acer_saccharinum.png,
acer saccharum,acer_saccharum.png,
acer x freemanii,acer_x_freemanii.png,
aesculus flava,aesculus_flava.png,
aesculus glabra,,
aesculus hippocastanum,aesculus_hippocastanum.png,
aesculus pavia,aesculus_pavia.png,
aesculus x carnea,aesculus_x_carnea.png,
ailanthus altissima,,
amelanchier laevis,amelanchier_laevis.png,
asimina triloba,asimina_triloba.png,
betula nigra,betula_nigra.png,
betula populifolia,betula_populifolia.png,
carpinus betulus,carpinus_betulus.png,
carpinus caroliniana,carpinus_caroliniana.png,
carya cordiformis,carya_cordiformis.png,
catalpa speciosa,catalpa_speciosa.png,
celtis laevigata,celtis_laevigata.png,
celtis occidentalis,celtis_occidentalis.png,
celtis reticulata,celtis_reticulata.png,
cercis canadensis,cercis_canadensis.png,
cladrastis kentukea,cladrastis_kentukea.png,
cornus florida,,
cornus kousa,cornus_kousa.png,
cornus mas,cornus_mas.png,
corylus colurna,corylus_colurna.png,
crataegus phaenopyrum,crataegus_phaenopyrum.png,
crataegus virdus,crataegus_virdus.png,
diospyros virginiana,,
eucommia ulmoides,eucommia_ulmoides.png,
fagus sylvatica,fagus_sylvatica.png,
fraxinus americana,fraxinus_americana.png,
fraxinus excelsior,fraxinus_excelsior.png,
fraxinus pennsylvanica,fraxinus_pennsylvanica.png,
fraxinus quadrangulata,fraxinus_quadrangulata.png,
ginkgo biloba,ginkgo_biloba.png,
gleditsia triacanthos,gleditsia_triacanthos.png,
gleditsia triacanthos var. inermis,,
gymnocladus dioicus,gymnocladus_dioicus.png,
halesia carolina,,
juglans nigra,juglans_nigra.png,
juglans sieboldiana,juglans_sieboldiana.png,
juniperus virginiana,,
liquidambar styraciflua,liquidambar_styraciflua.png,
liriodendron tulipifera,liriodendron_tulipifera.png,
magnolia virginiana,magnolia_virginiana.png,
magnolia x soulangeana,magnola_x_soulangeana.png,
malus sp.,malus_sp.png,
metasequoia glyptostroboides,metasequoia_glyptostroboides.png,
